,title,authors,date,journal,citations,references,paper_link,authors_full,affiliation
0,The rise of graphene,"Geim, AK Novoselov, KS",Mar 2007,NATURE MATERIALS,32119,91,/wos/woscc/full-record/WOS:000244570700015,"Geim, AK; Novoselov, KS","Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England"
1,The electronic properties of graphene,"Castro Neto, AH Guinea, F ... Geim, AK",Jan-mar 2009,REVIEWS OF MODERN PHYSICS,18556,440,/wos/woscc/full-record/WOS:000264764600004,"Castro Neto, AH; Guinea, F; Peres, NMR; Novoselov, KS; Geim, AK","Boston Univ, Dept Phys, Boston, MA 02215 USA; CSIC, Inst Ciencia Mat, E-28049 Madrid, Spain; Univ Minho, Ctr Phys, P-4710057 Braga, Portugal; Univ Minho, Dept Phys, P-4710057 Braga, Portugal; Univ Manchester, Dept Phys & Astron, Manchester M13 9PL, Lancs, England"
2,Generalized gradient approximation made simple,"Perdew, JP Burke, K Ernzerhof, M",Oct 28 1996,PHYSICAL REVIEW LETTERS,126241,47,/wos/woscc/full-record/WOS:A1996VP22500044,"Perdew, JP; Burke, K; Ernzerhof, M","TULANE UNIV,QUANTUM THEORY GRP,NEW ORLEANS,LA 70118"
3,Two-dimensional gas of massless Dirac fermions in graphene,"Novoselov, KS Geim, AK ... Firsov, AA",Nov 10 2005,NATURE,16881,28,/wos/woscc/full-record/WOS:000233133500042,"Novoselov, KS; Geim, AK; Morozov, SV; Jiang, D; Katsnelson, MI; Grigorieva, IV; Dubonos, SV; Firsov, AA","Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England; Russian Acad Sci, Inst Microelect Technol, Chernogolovka 142432, Russia; Radboud Univ Nijmegen, Inst Mol & Mat, NL-6525 ED Nijmegen, Netherlands"
4,Large-scale pattern growth of graphene films for stretchable transparent electrodes,"Kim, KS Zhao, Y ... Hong, BH",Feb 5 2009,NATURE,8186,30,/wos/woscc/full-record/WOS:000263064700037,"Kim, KS; Zhao, Y; Jang, H; Lee, SY; Kim, JM; Kim, KS; Ahn, JH; Kim, P; Choi, JY; Hong, BH","Sungkyunkwan Univ, Dept Chem, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Adv Mat Sci & Engn, Suwon 440746, South Korea; Sungkyunkwan Univ, SKKU Adv Inst Nanotechnol, Suwon 440746, South Korea; Sungkyunkwan Univ, Ctr Nanotubes & Nanostruct Composites, Suwon 440746, South Korea; Samsung Adv Inst Technol, Suwon 440600, South Korea; Pohang Univ Sci & Technol, Dept Chem, Pohang 790784, South Korea; Columbia Univ, Dept Phys, New York, NY 10027 USA"
5,Experimental observation of the quantum Hall effect and Berry's phase in graphene,"Zhang, YB Tan, YW ... Kim, P",Nov 10 2005,NATURE,11045,20,/wos/woscc/full-record/WOS:000233133500043,"Zhang, YB; Tan, YW; Stormer, HL; Kim, P","Columbia Univ, Dept Phys, New York, NY 10027 USA; Columbia Univ, Dept Appl Phys & Appl Math, New York, NY 10027 USA"
6,Roll-to-roll production of 30-inch graphene films for transparent electrodes,"Bae, S Kim, H ... Iijima, S",Aug 2010,NATURE NANOTECHNOLOGY,6427,30,/wos/woscc/full-record/WOS:000280631900009,"Bae, S; Kim, H; Lee, Y; Xu, XF; Park, JS; Zheng, Y; Balakrishnan, J; Lei, T; Kim, HR; Song, YI; Kim, YJ; Kim, KS; Ozyilmaz, B; Ahn, JH; Hong, BH; Iijima, S","Sungkyunkwan Univ, SKKU Adv Inst Nanotechnol SAINT, Suwon 440746, South Korea; Sungkyunkwan Univ, Ctr Human Interface Nano Technol HINT, Suwon 440746, South Korea; Sungkyunkwan Univ, Dept Chem, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Mech Engn, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Adv Mat Sci & Engn, Suwon 440746, South Korea; Natl Univ Singapore, NanoCore & Dept Phys, Singapore 117576, Singapore; Natl Univ Singapore, NanoCore & Dept Phys, Singapore 117542, Singapore; Samsung Techwin, Digital & IT Solut Div, Songnam 462807, South Korea; Pohang Univ Sci & Technol, Dept Chem, Ctr Superfunct Mat, Pohang 790784, South Korea; Natl Inst Adv Ind Sci & Technol, Nanotube Res Ctr, Tsukuba, Ibaraki 3058565, Japan; Meijo Univ, Fac Sci & Engn, Nagoya, Aichi 4688502, Japan"
7,Colloquium: Topological insulators,"Hasan, MZ Kane, CL",Nov 8 2010,REVIEWS OF MODERN PHYSICS,13069,183,/wos/woscc/full-record/WOS:000283929800001,"Hasan, MZ; Kane, CL","Princeton Univ, Joseph Henry Labs, Dept Phys, Princeton, NJ 08544 USA; Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 USA"
8,Emerging Photoluminescence in Monolayer MoS2,"Splendiani, A Sun, L ... Wang, F",Apr 2010,NANO LETTERS,6670,21,/wos/woscc/full-record/WOS:000276557100031,"Splendiani, A; Sun, L; Zhang, YB; Li, TS; Kim, J; Chim, CY; Galli, G; Wang, F","Univ Calif Berkeley, Dept Phys, Berkeley, CA 94720 USA; Scuola Galileiana Studi Super Padova, I-35122 Padua, Italy; Univ Calif Davis, Dept Chem, Davis, CA 95616 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA"
9,Unconventional superconductivity in magic-angle graphene superlattices,"Cao, Y Fatemi, V ... Jarillo-Herrero, P",Apr 5 2018,NATURE,3525,65,/wos/woscc/full-record/WOS:000429103300032,"Cao, Y; Fatemi, V; Fang, S; Watanabe, K; Taniguchi, T; Kaxiras, E; Jarillo-Herrero, P","MIT, Dept Phys, Cambridge, MA 02139 USA; Harvard Univ, Dept Phys, Cambridge, MA 02138 USA; Natl Inst Mat Sci, Namiki 1-1, Tsukuba, Ibaraki 3050044, Japan; Harvard Univ, John A Paulson Sch Engn & Appl Sci, Cambridge, MA 02138 USA"
10,Liquid Exfoliation of Layered Materials,"Nicolosi, V Chhowalla, M ... Coleman, JN",Jun 21 2013,SCIENCE,2655,140,/wos/woscc/full-record/WOS:000320647000033,"Nicolosi, V; Chhowalla, M; Kanatzidis, MG; Strano, MS; Coleman, JN","Trinity Coll Dublin, Sch Phys, D2 Dublin, Dublin, Ireland; Trinity Coll Dublin, Ctr Res Adapt Nanostruct & Nanodevices, D2 Dublin, Dublin, Ireland; Trinity Coll Dublin, Sch Chem, D2 Dublin, Dublin, Ireland; Rutgers State Univ, Piscataway, NJ 08901 USA; Northwestern Univ, Dept Chem, Evanston, IL 60208 USA; MIT, Dept Chem Engn, Cambridge, MA 02139 USA"
11,Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set,"Kresse, G Furthmuller, J",Jul 1996,COMPUTATIONAL MATERIALS SCIENCE,39345,71,/wos/woscc/full-record/WOS:A1996VF38900003,"Kresse, G; Furthmuller, J","VIENNA TECH UNIV, INST THEORET PHYS, A-1040 VIENNA, AUSTRIA; UNIV JENA, INST FESTKORPERTHEORIE & THEORET OPT, D-07743 JENA, GERMANY"
12,Roles of Cocatalysts in Photocatalysis and Photoelectrocatalysis,"Yang, JH Wang, DG ... Li, C",Aug 20 2013,ACCOUNTS OF CHEMICAL RESEARCH,2186,39,/wos/woscc/full-record/WOS:000323472200024,"Yang, JH; Wang, DG; Han, HX; Li, C","Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian 116023, Peoples R China; Dalian Natl Lab Clean Energy, Dalian 116023, Peoples R China"
13,Spintronics: A spin-based electronics vision for the future,"Wolf, SA Awschalom, DD ... Treger, DM",Nov 16 2001,SCIENCE,9544,121,/wos/woscc/full-record/WOS:000172240500038,"Wolf, SA; Awschalom, DD; Buhrman, RA; Daughton, JM; von Molnar, S; Roukes, ML; Chtchelkanova, AY; Treger, DM","DARPA, Arlington, VA 22203 USA; USN, Res Lab, Washington, DC 20375 USA; Univ Calif Santa Barbara, Dept Phys, Santa Barbara, CA 93106 USA; Cornell Univ, Ithaca, NY 14853 USA; NVE, Eden Prairie, MN 55344 USA; Florida State Univ, MARTECH, Tallahassee, FL 32306 USA; CALTECH, Dept Phys, Pasadena, CA 91125 USA; Strateg Anal, Arlington, VA 22201 USA"
14,Topological insulators and superconductors,"Qi, XL Zhang, SC",Oct 14 2011,REVIEWS OF MODERN PHYSICS,9321,324,/wos/woscc/full-record/WOS:000308825700001,"Qi, XL; Zhang, SC","Univ Calif Santa Barbara, Microsoft Res, Stn Q, Santa Barbara, CA 93106 USA; Stanford Univ, Dept Phys, Stanford, CA 94305 USA"
15,"Nanocrystals of Cesium Lead Halide Perovskites (CsPbX3, X = Cl, Br, and I): Novel Optoelectronic Materials Showing Bright Emission with Wide Color Gamut","Protesescu, L Yakunin, S ... Kovalenko, MV",Jun 2015,NANO LETTERS,5093,42,/wos/woscc/full-record/WOS:000356316900006,"Protesescu, L; Yakunin, S; Bodnarchuk, MI; Krieg, F; Caputo, R; Hendon, CH; Yang, RX; Walsh, A; Kovalenko, MV","ETH, Inst Inorgan Chem, Dept Chem & Appl Biosci, CH-8093 Zurich, Switzerland; Empa Swiss Fed Labs Mat Sci & Technol, Lab Thin Films & Photovolta, CH-8600 Dubendorf, Switzerland; Univ Bath, Ctr Sustainable Chem Technol, Bath BA2 7AY, Avon, England; Univ Bath, Dept Chem, Bath BA2 7AY, Avon, England"
